iter	Passed	Remaining
327	7300	14956
328	7320	14930
329	7341	14905
330	7367	14889
331	7387	14863
332	7408	14839
333	7428	14812
334	7447	14784
335	7466	14754
336	7484	14724
337	7506	14702
338	7528	14678
339	7550	14656
340	7570	14630
341	7590	14604
342	7612	14581
343	7632	14555
344	7655	14533
345	7678	14513
346	7698	14486
347	7720	14465
348	7743	14444
349	7765	14421
350	7792	14407
351	7811	14379
352	7833	14357
353	7856	14336
354	7880	14318
355	7903	14297
356	7924	14273
357	7945	14248
358	7966	14224
359	7988	14202
360	8011	14180
361	8032	14156
362	8054	14133
363	8073	14106
364	8096	14084
365	8118	14062
366	8139	14038
367	8158	14011
368	8180	13989
369	8198	13960
370	8219	13936
371	8239	13909
372	8260	13886
373	8281	13862
374	8304	13840
375	8325	13816
376	8348	13795
377	8370	13773
378	8392	13751
379	8419	13736
380	8438	13710
381	8457	13681
382	8476	13655
383	8496	13630
384	8517	13605
385	8536	13578
386	8559	13557
387	8577	13529
388	8598	13506
389	8621	13484
390	8645	13465
391	8670	13448
392	8691	13423
393	8709	13396
394	8730	13372
395	8751	13347
396	8773	13325
397	8794	13301
398	8813	13275
399	8835	13252
400	8856	13228
401	8875	13203
402	8897	13180
403	8919	13157
404	8944	13140
405	8965	13116
406	8986	13093
407	9009	13073
408	9032	13051
409	9054	13029
410	9074	13004
411	9097	12983
412	9117	12959
413	9136	12932
414	9159	12912
415	9180	12887
416	9201	12864
417	9220	12838
418	9240	12813
419	9260	12788
420	9281	12764
421	9299	12736
422	9317	12709
423	9338	12686
424	9355	12657
425	9372	12628
426	9390	12601
427	9413	12581
428	9434	12557
429	9456	12535
430	9480	12515
431	9502	12493
432	9519	12465
433	9540	12442
434	9558	12415
435	9577	12389
436	9595	12362
437	9613	12335
438	9630	12306
439	9648	12279
440	9667	12254
441	9686	12229
442	9703	12201
443	9721	12173
444	9740	12148
445	9760	12123
446	9781	12100
447	9799	12074
448	9817	12047
449	9837	12023
450	9856	11998
451	9877	11975
452	9893	11945
453	9911	11919
454	9930	11895
455	9950	11870
456	9970	11846
457	9988	11820
458	10008	11796
459	10025	11769
460	10043	11742
461	10062	11718
462	10078	11689
463	10098	11665
464	10117	11640
465	10134	11613
466	10154	11589
467	10175	11566
468	10192	11540
469	10211	11514
470	10231	11491
471	10250	11466
472	10266	11438
473	10285	11413
474	10304	11388
475	10320	11361
476	10340	11337
477	10357	11311
478	10376	11286
479	10392	11259
480	10412	11235
481	10432	11212
482	10453	11189
483	10475	11167
484	10493	11142
485	10514	11119
486	10533	11095
487	10552	11071
488	10568	11044
489	10588	11020
490	10606	10995
491	10625	10971
492	10640	10942
493	10659	10918
494	10678	10893
495	10697	10870
496	10715	10844
497	10732	10818
498	10749	10792
499	10767	10767
500	10786	10743
501	10805	10719
502	10824	10694
503	10843	10671
504	10862	10647
505	10879	10621
506	10898	10597
507	10915	10571
508	10935	10548
509	10951	10521
510	10969	10496
511	10987	10472
512	11006	10448
513	11026	10425
514	11044	10401
515	11064	10377
516	11085	10356
517	11103	10331
518	11124	10310
519	11144	10286
520	11161	10261
521	11183	10240
522	11203	10218
523	11223	10194
524	11241	10170
525	11262	10149
526	11282	10126
527	11302	10103
528	11321	10080
529	11340	10056
530	11359	10032
531	11379	10010
532	11397	9986
533	11416	9962
534	11434	9938
535	11454	9916
536	11473	9892
537	11493	9869
538	11515	9849
539	11535	9826
540	11554	9803
541	11571	9778
542	11590	9754
543	11607	9729
544	11627	9707
545	11646	9684
546	11667	9662
547	11689	9641
548	11710	9620
549	11728	9596
550	11746	9572
551	11763	9547
552	11783	9524
553	11801	9500
554	11822	9479
555	11844	9458
556	11869	9440
557	11889	9418
558	11913	9398
559	11932	9375
560	11956	9356
561	11981	9338
562	11998	9313
563	12017	9289
564	12035	9266
565	12056	9244
566	12075	9221
567	12095	9199
568	12115	9177
569	12134	9154
570	12156	9133
571	12173	9108
572	12195	9087
573	12277	9111
574	12299	9090
575	12320	9069
576	12344	9049
577	12366	9029
578	12388	9007
579	12411	8987
580	12433	8966
581	12457	8947
582	12481	8927
583	12505	8908
584	12529	8888
585	12551	8867
586	12574	8846
587	12596	8825
588	12620	8806
589	12642	8785
590	12664	8764
591	12687	8744
592	12711	8724
593	12732	8702
594	12757	8683
595	12781	8664
596	12799	8640
597	12818	8617
598	12841	8596
599	12861	8574
600	12884	8553
601	12907	8533
602	12927	8511
603	12947	8488
604	12967	8466
605	12986	8443
606	13004	8419
607	13024	8397
608	13043	8374
609	13063	8351
610	13084	8330
611	13206	8373
612	13240	8359
613	13265	8339
614	13292	8321
615	13320	8303
616	13361	8294
617	13402	8284
618	13430	8266615	14773	9209
616	15102	9374
617	15468	9561
618	15578	9588
619	15658	9597
620	15880	9691
621	15967	9703
622	16169	9784
623	16318	9832
624	16367	9820
625	16441	9822
626	16478	9802
627	16508	9779
628	16538	9754
629	16561	9726
630	16582	9697
631	16604	9668
632	16629	9641
633	16654	9614
634	16682	9589
635	16736	9578
636	16778	9561
637	16813	9539
638	16857	9523
639	16896	9504
640	16919	9476
641	16956	9455
642	17091	9489
643	17150	9480
644	17227	9481
645	17653	9673
646	17755	9687
647	17810	9674
648	17845	9651
649	17871	9623
650	17895	9594
651	17915	9562
652	17934	9530
653	17957	9500
654	18369	9675
655	18475	9688
656	18507	9662
657	18608	9671
658	18705	9679
659	18770	9669
660	18805	9644
661	18840	9619
662	18879	9596
663	18899	9563
664	18919	9531
665	18939	9498
666	18971	9471
667	19024	9455
668	19088	9444
669	19150	9432
670	19185	9407
671	19209	9376
672	19228	9342
673	19251	9311
674	19341	9312
675	19371	9284
676	19403	9257
677	19431	9228
678	19530	9233
679	19605	9226
680	19664	9211
681	19719	9194
682	19773	9177
683	19829	9161
684	21303	9796
685	21327	9762
686	21346	9725
687	21366	9689
688	21386	9653
689	21403	9616
690	21421	9579
691	21440	9542
692	21458	9506
693	21475	9468
694	21495	9433
695	21514	9397
696	21534	9361
697	21553	9325
698	21569	9288
699	21587	9251
700	21605	9215
701	21623	9179
702	21640	9142
703	21658	9106
704	21676	9070
705	21711	9041
706	21955	9098
707	22019	9081
708	22047	9048
709	22077	9017
710	22105	8985
711	22150	8959
712	22183	8929
713	22209	8896
714	22240	8864
715	22268	8832
716	22295	8800
717	22325	8768
718	22342	8731
719	22360	8695
720	22381	8660
721	22401	8625
722	22423	8590
723	22445	8556
724	22467	8522
725	22490	8488
726	22508	8452
727	22525	8416
728	22545	8381
729	22567	8346
730	22587	8311
731	22607	8277
732	22629	8242
733	22650	8208
734	22669	8173
735	22688	8138
736	22704	8102
737	22723	8067
738	22744	8032
739	22763	7998
740	22780	7962
741	22800	7927
742	22819	7893
743	22837	7857
744	22857	7823
745	22877	7789
746	22896	7754
747	22915	7720
748	22976	7699
749	23003	7667
750	23027	7634
751	23046	7600
752	23071	7567
753	23096	7535
754	23120	7502
755	23151	7472
756	23174	7439
757	23195	7405
758	23220	7372
759	23242	7339
760	23266	7306
761	23289	7274
762	23313	7241
763	2765	23824	7277
766	24025	7298
767	24125	7287
768	24177	7262
769	24233	7238
770	24287	7213
771	24337	7187
772	24395	7164
773	24446	7137
774	24501	7113
775	24560	7089
776	24614	7064
777	24663	7037
778	24717	7012
7763	27992	8646
764	28649	8800
765	28807	8800
766	29007	8812
767	29256	8837
768	29431	8841
769	29607	8843
770	29791	8848
771	29951	8845
772	30277	8891
773	30430	8885
774	30660	8901
775	30795	8889
776	30979	8891
777	31149	8888
778	31488	8933
779	31659	8929
780	32945	9238
781	33842	9434
782	33867	9386
783	33892	9337
784	33916	9289
785	33943	9241
786	33966	9193
787	33993	9145
788	34019	9097
789	34046	9050
790	34069	9002
791	34091	8953
792	34117	8905
793	34141	8857
794	34163	8809
795	34184	8760
796	34209	8713
797	34229	8664
798	34249	8615
799	34275	8568
800	34301	8521
801	34322	8473
802	34348	8426
803	34375	8380
804	34397	8332
805	34422	8285
806	34449	8238
807	34475	8192
808	34506	8146
809	34533	8100
810	34562	8054
811	34585	8007
812	34610	7960
813	34632	7913
814	34651	7865
815	34672	7818
816	34690	7770
817	34712	7723
818	34732	7675
819	34753	7628
820	34774	7581
821	34795	7534
822	34818	7488
823	34841	7441
824	34864	7395
825	34890	7349
826	34915	7304
827	34937	7257
828	34964	7212
829	34985	7165
830	35007	7119
831	35025	7072
832	35045	7025
833	35067	6979
834	35086	6933
835	35108	6887
836	35131	6841
837	35150	6795
838	35174	6749
839	35192	6703
840	35210	6656
841	35230	6610
842	35249	6564
843	35269	6519
844	35288	6473
845	35308	6427
846	35328	6381
847	35346	6335
848	35368	6290
849	35387	6244
850	35406	6199
851	35425	6153
852	35444	6108
853	35463	6062
854	35482	6017
855	35503	5972
856	35524	5927
857	35544	5882
858	35563	5837
859	35583	5792
860	35600	5747
861	35622	5702
862	35643	5658
863	35663	5613
864	35684	5569
865	35705	5524
866	35725	5480
867	35743	5435
868	35763	5391
869	35785	5347
870	35805	5302
871	35822	5258
872	35846	5214
873	35866	5170
874	35885	5126
875	35907	5082
876	35926	5038
877	35948	4995
878	35968	4951
879	35988	4907
880	36009	4863
881	36030	4820
882	36051	4776
883	36071	4733
884	36091	4689
885	36112	4646
886	36131	4603
887	36152	4559
888	36171	4516
889	36188	4472
890	36207	4429
891	36227	4386
892	36248	4343
893	36267	4300
894	36286	4257
895	36305	4213
896	36323	4170
897	36342	4127
898	36360	4085
899	36380	4042
900	36399	3999
901	36418	3956
902	36440	3914
903	36460	3871
904	36477	3829
905	36497	3786
906	36514	3744
907	36532	3701
908	36548	3658
909	36573	3617
910	36607	3576
911	36629	3534
912	36648	3492
913	36667	3450
914	36687	3408
915	36706	3366
916	36722	3323
917	36741	3281
918	36757	3239
919	36774	3197
920	36790	3155
921	36806	3113
922	36820	3071
923	36840	3030
924	36856	2988
925	36890	2948
926	36905	2906
927	36918	2864
928	36932	2822
929	36946	2780
930	36961	2739
931	36976	2697
932	36989	2656
933	37003	2614
934	37016	2573
935	37029	2531
936	37042	2490
937	37056	2449
938	37070	2408
939	37084	2367
940	37097	2326
941	37111	2284
942	37124	2243
943	37136	2203
944	37149	2162
945	37162	2121
946	37176	2080
947	37189	2039
948	37203	1999
949	37216	1958
950	37230	1918
951	37243	1877
952	37257	1837
953	37269	1797
954	37283	1756
955	37296	1716
956	37310	1676
957	37325	1636
958	37338	1596
959	37352	1556
960	37364	1516
961	37377	1476
962	37391	1436
963	37405	1396
964	37418	1357
965	37432	1317
966	37446	1277
967	37460	1238
968	37474	1198
969	37488	1159
970	37501	1120
971	37514	1080
972	37527	1041
973	37538	1002
974	37549	962
975	37560	923
976	37576	884
977	37585	845
978	37608	806
979	37622	767
980	37632	728
981	37641	689
982	37666	651
983	37676	612
984	37685	573
985	37693	535
986	37701	496
987	37709	458
988	37717	419
989	37726	381
990	37735	342
991	37743	304
992	37751	266
993	37759	227
994	37766	189
995	37774	151
996	37782	113
997	37790	75
998	37796	37
999	37803	0
