,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rank_train_score
0,50.983516216278076,7.824798453446028,0.5711369514465332,0.09247523767458532,0.46909356296798244,0.5121307627923543,24,129,13.402958965708544,8.28237265029665,0.41583820140922967,"OrderedDict([('colsample_bytree', 0.46909356296798244), ('learning_rate', 0.5121307627923543), ('max_depth', 24), ('n_estimators', 129), ('reg_alpha', 13.402958965708544), ('reg_lambda', 8.28237265029665), ('subsample', 0.41583820140922967)])",0.46377607295591183,0.4582679583370727,0.47615641595325153,0.454690760069677,0.45947088852055057,0.46247241916729276,0.007432256409010717,28,0.53577068817151,0.5362457340321498,0.5355553158590565,0.5326891223228178,0.5375798509484367,0.5355681422667942,0.0016022513921566694,33
1,119.52231302261353,23.283821143085383,0.7883634567260742,0.012534382139987976,0.8536495199979559,0.6194875413927949,10,288,17.282558309434886,1.2462588178191167,0.22447768445071767,"OrderedDict([('colsample_bytree', 0.8536495199979559), ('learning_rate', 0.6194875413927949), ('max_depth', 10), ('n_estimators', 288), ('reg_alpha', 17.282558309434886), ('reg_lambda', 1.2462588178191167), ('subsample', 0.22447768445071767)])",0.45287893477716773,0.45165304099603276,0.4633515508629589,0.4478253001330947,0.4530970973991774,0.4537611848336863,0.0051550653822678184,33,0.5586450711995875,0.5541127529537689,0.5565986054944145,0.5539513812081907,0.5561066246622067,0.5558828871036336,0.0017352845428117525,31
2,27.255651664733886,3.4951186763771367,0.3072384834289551,0.09024795161972901,0.5003492610710367,0.6439185399518701,5,158,3.7591037281590167,9.073306876672314,0.239903248645489,"OrderedDict([('colsample_bytree', 0.5003492610710367), ('learning_rate', 0.6439185399518701), ('max_depth', 5), ('n_estimators', 158), ('reg_alpha', 3.7591037281590167), ('reg_lambda', 9.073306876672314), ('subsample', 0.239903248645489)])",0.44701262385153734,0.4476589057386331,0.4631011233175053,0.4416201992918028,0.4454975413097662,0.4489780787018489,0.007366357977206652,36,0.5192172432492665,0.5169987035769313,0.5160258274462668,0.5114355807362976,0.5173260068505267,0.5162006723718577,0.0025976758995253243,36
3,218.7608470916748,41.16421285769445,1.4083356857299805,0.1350717811468362,0.8311563895216271,0.12859137736362689,16,251,10.46104656156462,1.9091007852044142,0.7802204795522933,"OrderedDict([('colsample_bytree', 0.8311563895216271), ('learning_rate', 0.12859137736362689), ('max_depth', 16), ('n_estimators', 251), ('reg_alpha', 10.46104656156462), ('reg_lambda', 1.9091007852044142), ('subsample', 0.7802204795522933)])",0.481609571059374,0.4824169003824497,0.49303134959975253,0.47592021744771856,0.47888288061065304,0.4823721838199896,0.005796628328083211,11,0.6465688032272591,0.6451442943702365,0.641509021770144,0.6434407086103743,0.6433128814205088,0.6439951418797045,0.0017261490643554148,23
4,151.42841358184813,26.324030397121703,0.841005516052246,0.06474050890526985,0.8195980974464558,0.3122401386442371,15,229,18.07704145022988,14.340623023479708,0.4817602652146139,"OrderedDict([('colsample_bytree', 0.8195980974464558), ('learning_rate', 0.3122401386442371), ('max_depth', 15), ('n_estimators', 229), ('reg_alpha', 18.07704145022988), ('reg_lambda', 14.340623023479708), ('subsample', 0.4817602652146139)])",0.4635280922055714,0.4644262186475356,0.4783835160087435,0.46048216473042763,0.4627565747907895,0.4659153132766135,0.0063697572728106,25,0.5619755998472326,0.560115073891811,0.5574762499162693,0.5605748037719542,0.5609693160207682,0.5602222086896071,0.0015039042960094673,30
5,36.0219521522522,5.6168345004335825,0.1979374408721924,0.026888909057993536,0.7606252161870115,0.6581651189459125,7,97,16.010064629334394,7.451595560292578,0.5131220627357251,"OrderedDict([('colsample_bytree', 0.7606252161870115), ('learning_rate', 0.6581651189459125), ('max_depth', 7), ('n_estimators', 97), ('reg_alpha', 16.010064629334394), ('reg_lambda', 7.451595560292578), ('subsample', 0.5131220627357251)])",0.45415313938388147,0.44982012905355084,0.4688306397931307,0.456992643203131,0.4489484658760301,0.4557490034619448,0.007164097909309467,32,0.5232702022115916,0.5206481207905255,0.5196883859441449,0.5209462568312367,0.520219354826153,0.5209544641207303,0.0012328743752083962,34
6,137.84718976020812,23.364619241488125,0.9435832023620605,0.08032939695313489,0.6553714226520847,0.545001421391239,11,269,11.852393506518737,11.89240070214215,0.6838997587333533,"OrderedDict([('colsample_bytree', 0.6553714226520847), ('learning_rate', 0.545001421391239), ('max_depth', 11), ('n_estimators', 269), ('reg_alpha', 11.852393506518737), ('reg_lambda', 11.89240070214215), ('subsample', 0.6838997587333533)])",0.4742319885668931,0.4809447863362212,0.4835718701443155,0.4753800526907467,0.4727272016604569,0.4773711798797267,0.004161847333710919,16,0.6632805757228815,0.6629379602055075,0.6621612220955443,0.6642159218136565,0.6651659948350529,0.6635523349345286,0.0010421852165783752,22
7,154.8649983406067,29.732869237674368,1.1398480892181397,0.10423230671510579,0.5890627609212813,0.6448063662417483,14,259,6.481199646363414,1.0226910744899014,0.6137000224110084,"OrderedDict([('colsample_bytree', 0.5890627609212813), ('learning_rate', 0.6448063662417483), ('max_depth', 14), ('n_estimators', 259), ('reg_alpha', 6.481199646363414), ('reg_lambda', 1.0226910744899014), ('subsample', 0.6137000224110084)])",0.4649148640136701,0.4651832635740246,0.4753117081372044,0.47107974929298996,0.4633580114382183,0.4679695192912215,0.004515338573763246,23,0.8063493156343174,0.8078107646961253,0.8061814546745916,0.8057486710031048,0.8084869947138573,0.8069154401443994,0.0010480430981204257,15
8,67.13002486228943,11.122217914488452,0.5378557682037354,0.043182753960366665,0.9599301876789355,0.4934287967887425,22,154,7.621295296568793,4.228285746272511,0.10005494567740614,"OrderedDict([('colsample_bytree', 0.9599301876789355), ('learning_rate', 0.4934287967887425), ('max_depth', 22), ('n_estimators', 154), ('reg_alpha', 7.621295296568793), ('reg_lambda', 4.228285746272511), ('subsample', 0.10005494567740614)])",0.41708137967364867,0.4173669840319556,0.42549949683559524,0.43564718671630204,0.4215121489951248,0.4234214392505253,0.006845223110099353,45,0.5436880640250915,0.5398003385696396,0.5403704521266062,0.5433022542819033,0.545825341133857,0.5425972900274194,0.0022310903591537946,32
9,6.2425295352935795,0.9314635388614546,0.09818315505981445,0.0088036298583631,0.10326727652926891,0.5743027135679886,19,114,11.573286724989034,5.494296977433635,0.38155537561116537,"OrderedDict([('colsample_bytree', 0.10326727652926891), ('learning_rate', 0.5743027135679886), ('max_depth', 19), ('n_estimators', 114), ('reg_alpha', 11.573286724989034), ('reg_lambda', 5.494296977433635), ('subsample', 0.38155537561116537)])",0.42006686870970167,0.4096541159891353,0.4240716904380524,0.4208021561155483,0.4099054649810924,0.416900059246706,0.005968506994649972,46,0.4265170226352089,0.43065455964544846,0.42383066999047536,0.4262454432288206,0.42702486179464066,0.42685451145891884,0.002195352613962057,48
